2026-04-12 14:08:53 | INFO     | src.audio_processing.feature_extraction | Đã lưu vector đặc trưng của song_id=8 vào cache.
2026-04-12 14:08:53 | INFO     | src.recommendation.knn_model | KNN đã được huấn luyện với 3 bài hát (n_neighbors=3)
2026-04-12 14:08:53 | INFO     | src.recommendation.knn_model | Đã lưu mô hình KNN vào 'data/knn_model.pkl'
2026-04-12 14:08:53 | INFO     | src.recommendation.engine | Đã huấn luyện lại mô hình KNN với 3 bài hát.
2026-04-12 14:08:53 | INFO     | src.services.song_service | Hoàn tất xử lý AI cho song_id=8.
2026-04-12 14:10:24 | INFO     | src.recommendation.knn_model | Đã tải mô hình KNN từ 'data/knn_model.pkl' (3 bài hát)
2026-04-12 14:10:24 | INFO     | src.recommendation.engine | get_similar_songs: target=8 top_k=5 results=[6, 7]
2026-04-12 14:11:12 | INFO     | src.services.song_service | Bắt đầu trích xuất features cho song_id=9...
2026-04-12 14:11:12 | WARNING  | src.services.recommend_service | Bài hát 9 chưa được trích xuất đặc trưng.
2026-04-12 14:11:14 | INFO     | src.audio_processing.feature_extraction | Đã trích xuất MFCC cho '3a892248-9419-4610-95f7-8415afb9f351.mp3' trong 1.86s
2026-04-12 14:11:14 | INFO     | src.audio_processing.feature_extraction | Đã lưu vector đặc trưng của song_id=9 vào cache.
2026-04-12 14:11:14 | INFO     | src.recommendation.knn_model | KNN đã được huấn luyện với 4 bài hát (n_neighbors=4)
2026-04-12 14:11:14 | INFO     | src.recommendation.knn_model | Đã lưu mô hình KNN vào 'data/knn_model.pkl'
2026-04-12 14:11:14 | INFO     | src.recommendation.engine | Đã huấn luyện lại mô hình KNN với 4 bài hát.
2026-04-12 14:11:14 | INFO     | src.services.song_service | Hoàn tất xử lý AI cho song_id=9.
2026-04-12 14:11:23 | INFO     | src.recommendation.knn_model | Đã tải mô hình KNN từ 'data/knn_model.pkl' (4 bài hát)
2026-04-12 14:11:23 | INFO     | src.recommendation.engine | get_similar_songs: target=9 top_k=5 results=[7, 8, 6]
2026-04-12 14:14:26 | INFO     | src.services.song_service | Bắt đầu trích xuất features cho song_id=10...
2026-04-12 14:14:26 | WARNING  | src.services.recommend_service | Bài hát 10 chưa được trích xuất đặc trưng.
2026-04-12 14:14:28 | INFO     | src.audio_processing.feature_extraction | Đã trích xuất MFCC cho '2c067c29-ddac-4e80-afdf-73cd3c61d95e.mp3' trong 1.78s
2026-04-12 14:14:28 | INFO     | src.audio_processing.feature_extraction | Đã lưu vector đặc trưng của song_id=10 vào cache.
2026-04-12 14:14:28 | INFO     | src.recommendation.knn_model | KNN đã được huấn luyện với 5 bài hát (n_neighbors=5)
2026-04-12 14:14:28 | INFO     | src.recommendation.knn_model | Đã lưu mô hình KNN vào 'data/knn_model.pkl'
2026-04-12 14:14:28 | INFO     | src.recommendation.engine | Đã huấn luyện lại mô hình KNN với 5 bài hát.
